source,target,value,size
Indonesia,Singapore,2771121,16
Malaysia,Singapore,1087452,16
Philippines,Singapore,752722,8
Thailand,Singapore,487814,4
China,Singapore,3354378,16
Hong Kong ,Singapore,443588,4
Vietnam,Singapore,553495,8
China,Singapore,3354378,16
Hong Kong ,Singapore,443588,4
Japan,Singapore,814602,8
Singapore,Malaysia,3335756,16
Singapore,Indonesia,4017098,16
Singapore,Philippines,1541174,16
Singapore,Thailand,2931975,16
Singapore,Vietnam,1329157,16
Singapore,China,3662604,16
Singapore,Hong Kong ,1465950,16
Singapore,Japan,1696448,16
Hong Kong ,Vietnam,51618,2
China,Vietnam,5806425,16
Philippines,Vietnam,179190,4
Thailand,Vietnam,509802,4
Indonesia,Vietnam,106688,4
Japan,Vietnam,951962,4
China,Malaysia,3114257,16
Philippines,Malaysia,421908,8
Thailand,Malaysia,1884306,16
Japan,Malaysia,424694,8
